Freq,X,Y,Z
2528.53,0.005,0.015,0.004
2531.77,0.005,0.014,0.004
2535.01,0.004,0.011,0.003
2538.25,0.005,0.012,0.003
2541.49,0.005,0.012,0.004
2544.73,0.004,0.012,0.003
2547.98,0.005,0.012,0.004
2551.22,0.005,0.01,0.003
2554.46,0.005,0.012,0.003
2557.7,0.005,0.012,0.003
2560.94,0.005,0.012,0.003
2564.18,0.004,0.011,0.003
2567.43,0.003,0.008,0.002
2570.67,0.004,0.008,0.003
2573.91,0.004,0.009,0.003
2577.15,0.004,0.009,0.003
2580.39,0.004,0.01,0.002
2583.63,0.004,0.008,0.002
2586.88,0.003,0.008,0.002
2590.12,0.003,0.008,0.002
2593.36,0.004,0.008,0.002
2596.6,0.004,0.007,0.002
2599.84,0.004,0.008,0.002
2603.08,0.003,0.007,0.002
2606.33,0.003,0.007,0.002
2609.57,0.003,0.008,0.002
2612.81,0.004,0.007,0.002
2616.05,0.004,0.008,0.002
2619.29,0.004,0.009,0.002
2622.53,0.004,0.008,0.002
2625.78,0.004,0.009,0.002
2629.02,0.004,0.009,0.002
2632.26,0.004,0.008,0.002
2635.5,0.005,0.01,0.002
2638.74,0.004,0.009,0.002
2641.98,0.005,0.01,0.002
2645.23,0.005,0.01,0.002
2648.47,0.004,0.009,0.002
2651.71,0.004,0.009,0.002
2654.95,0.004,0.008,0.002
2658.19,0.005,0.009,0.002
2661.44,0.004,0.008,0.002
2664.68,0.004,0.008,0.001
2667.92,0.004,0.008,0.001
2671.16,0.004,0.009,0.002
2674.4,0.004,0.008,0.002
2677.64,0.004,0.009,0.002
2680.89,0.004,0.009,0.002
2684.13,0.003,0.008,0.002
2687.37,0.003,0.007,0.002
2690.61,0.003,0.008,0.002
2693.85,0.004,0.009,0.002
2697.09,0.003,0.009,0.002
2700.34,0.003,0.008,0.002
2703.58,0.002,0.006,0.002
2706.82,0.002,0.007,0.002
2710.06,0.002,0.006,0.002
2713.3,0.003,0.008,0.002
2716.54,0.003,0.009,0.002
